x_boiler	0
x_pellet	0
x_chp	0
x_eh	0
x_hp_air	1
x_hp_geo	0
x_pv	1
x_stc	0
x_tes	1
x_bat	0
y_boiler__0_0	0
y_chp__0_0	0
y_eh__0_0	0
y_hp_air__0_0	0
y_hp_geo__0_0	0
y_pellet__0_0	0
y_boiler__0_1	0
y_chp__0_1	0
y_eh__0_1	0
y_hp_air__0_1	1
y_hp_geo__0_1	0
y_pellet__0_1	0
y_boiler__0_2	0
y_chp__0_2	0
y_eh__0_2	0
y_hp_air__0_2	1
y_hp_geo__0_2	0
y_pellet__0_2	0
y_boiler__0_3	0
y_chp__0_3	0
y_eh__0_3	0
y_hp_air__0_3	0
y_hp_geo__0_3	0
y_pellet__0_3	0
y_boiler__0_4	0
y_chp__0_4	0
y_eh__0_4	0
y_hp_air__0_4	0
y_hp_geo__0_4	0
y_pellet__0_4	0
y_boiler__0_5	0
y_chp__0_5	0
y_eh__0_5	0
y_hp_air__0_5	0
y_hp_geo__0_5	0
y_pellet__0_5	0
y_boiler__0_6	0
y_chp__0_6	0
y_eh__0_6	0
y_hp_air__0_6	0
y_hp_geo__0_6	0
y_pellet__0_6	0
y_boiler__0_7	0
y_chp__0_7	0
y_eh__0_7	0
y_hp_air__0_7	1
y_hp_geo__0_7	0
y_pellet__0_7	0
y_boiler__0_8	0
y_chp__0_8	0
y_eh__0_8	0
y_hp_air__0_8	1
y_hp_geo__0_8	0
y_pellet__0_8	0
y_boiler__0_9	0
y_chp__0_9	0
y_eh__0_9	0
y_hp_air__0_9	1
y_hp_geo__0_9	0
y_pellet__0_9	0
y_boiler__0_10	0
y_chp__0_10	0
y_eh__0_10	0
y_hp_air__0_10	1
y_hp_geo__0_10	0
y_pellet__0_10	0
y_boiler__0_11	0
y_chp__0_11	0
y_eh__0_11	0
y_hp_air__0_11	1
y_hp_geo__0_11	0
y_pellet__0_11	0
y_boiler__0_12	0
y_chp__0_12	0
y_eh__0_12	0
y_hp_air__0_12	1
y_hp_geo__0_12	0
y_pellet__0_12	0
y_boiler__0_13	0
y_chp__0_13	0
y_eh__0_13	0
